state,region,crime,murder,pctmetro,pctwhite,pcths,poverty,single
ak,W,761,9,41.79999924,75.19999695,86.59999847,9.100000381,14.30000019
al,S,780,11.60000038,67.40000153,73.5,66.90000153,17.39999962,11.5
ar,S,593,10.19999981,44.70000076,82.90000153,66.30000305,20,10.69999981
az,W,715,8.600000381,84.69999695,88.59999847,78.69999695,15.39999962,12.10000038
ca,W,1078,13.10000038,96.69999695,79.30000305,76.19999695,18.20000076,12.5
co,W,567,5.800000191,81.80000305,92.5,84.40000153,9.899999619,12.10000038
ct,NE,456,6.300000191,95.69999695,89,79.19999695,8.5,10.10000038
de,NE,686,5,82.69999695,79.40000153,77.5,10.19999981,11.39999962
fl,S,1206,8.899999619,93,83.5,74.40000153,17.79999924,10.60000038
ga,S,723,11.39999962,67.69999695,70.80000305,70.90000153,13.5,13
hi,W,261,3.799999952,74.69999695,40.90000153,80.09999847,8,9.100000381
ia,MW,326,2.299999952,43.79999924,96.59999847,80.09999847,10.30000019,9
id,W,282,2.900000095,30,96.69999695,79.69999695,13.10000038,9.5
il,MW,960,11.39999962,84,81,76.19999695,13.60000038,11.5
in,MW,489,7.5,71.59999847,90.59999847,75.59999847,12.19999981,10.80000019
ks,MW,496,6.400000095,54.59999847,90.90000153,81.30000305,13.10000038,9.899999619
ky,S,463,6.599999905,48.5,91.80000305,64.59999847,20.39999962,10.60000038
la,S,1062,20.29999924,75,66.69999695,68.30000305,26.39999962,14.89999962
ma,NE,805,3.900000095,96.19999695,91.09999847,80,10.69999981,10.89999962
md,NE,998,12.69999981,92.80000305,68.90000153,78.40000153,9.699999809,12
me,NE,126,1.600000024,35.70000076,98.5,78.80000305,10.69999981,10.60000038
mi,MW,792,9.800000191,82.69999695,83.09999847,76.80000305,15.39999962,13
mn,MW,327,3.400000095,69.30000305,94,82.40000153,11.60000038,9.899999619
mo,MW,744,11.30000019,68.30000305,87.59999847,73.90000153,16.10000038,10.89999962
ms,S,434,13.5,30.70000076,63.29999924,64.30000305,24.70000076,14.69999981
mt,W,178,3,24,92.59999847,81,14.89999962,10.80000019
nc,S,679,11.30000019,66.30000305,75.19999695,70,14.39999962,11.10000038
nd,MW,82,1.700000048,41.59999847,94.19999695,76.69999695,11.19999981,8.399999619
ne,MW,339,3.900000095,50.59999847,94.30000305,81.80000305,10.30000019,9.399999619
nh,NE,138,2,59.40000153,98,82.19999695,9.899999619,9.199999809
nj,NE,627,5.300000191,100,80.80000305,76.69999695,10.89999962,9.600000381
nm,W,930,8,56,87.09999847,75.09999847,17.39999962,13.80000019
nv,W,875,10.39999962,84.80000305,86.69999695,78.80000305,9.800000191,12.39999962
ny,NE,1074,13.30000019,91.69999695,77.19999695,74.80000305,16.39999962,12.69999981
oh,MW,504,6,81.30000305,87.5,75.69999695,13,11.39999962
ok,S,635,8.399999619,60.09999847,82.5,74.59999847,19.89999962,11.10000038
or,W,503,4.599999905,70,93.59999847,81.5,11.80000019,11.30000019
pa,NE,418,6.800000191,84.80000305,88.69999695,74.69999695,13.19999981,9.600000381
ri,NE,402,3.900000095,93.59999847,92.59999847,72,11.19999981,10.80000019
sc,S,1023,10.30000019,69.80000305,68.59999847,68.30000305,18.70000076,12.30000019
sd,MW,208,3.400000095,32.59999847,90.19999695,77.09999847,14.19999981,9.399999619
tn,S,766,10.19999981,67.69999695,82.80000305,67.09999847,19.60000038,11.19999981
tx,S,762,11.89999962,83.90000153,85.09999847,72.09999847,17.39999962,11.80000019
ut,W,301,3.099999905,77.5,94.80000305,85.09999847,10.69999981,10
va,S,372,8.300000191,77.5,77.09999847,75.19999695,9.699999809,10.30000019
vt,NE,114,3.599999905,27,98.40000153,80.80000305,10,11
wa,W,515,5.199999809,83,89.40000153,83.80000305,12.10000038,11.69999981
wi,MW,264,4.400000095,68.09999847,92.09999847,78.59999847,12.60000038,10.39999962
wv,S,208,6.900000095,41.79999924,96.30000305,66,22.20000076,9.399999619
wy,W,286,3.400000095,29.70000076,95.90000153,83,13.30000019,10.80000019
